# position,title,source,price,extracted_price,old_price,delivery,thumbnail,rating,reviews,store_rating,store_reviews
46,Samsung SM-A025MZKFTPA 6.5" Galaxy A02s 3GB 32GB Black Smartphone,Today Store,$34.19,34.19,$62.99,Free delivery by Mon Apr 29,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRullUJOSZOT7LMZMXwpU5b4cfpouf8fpmtcG_NEcjG5UKcYmdH8pUMGB7jvjK54EVGVTMgq321&usqp=CAE,3.9,2047,NA,NA
47,VIVAHHX Unlocked Android Phones I15 Ultra 5G Cell Phone Android 13 Smart Phones ...,Amazon - Seller,$179.99,179.99,NA,Free delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT0Zl3Vqn8234DRanvUB1YTxzXIvV9jn0lc1IK2Kgh6PUDJGJSYDWcacOeOXx55uiv8bWFzg5Zx&usqp=CAE,NA,NA,NA,NA
48,iPhone 14 128GB Starlight -Apple- MPUR3ZP/A,BecexTech,$903.00,903.0,NA,Free delivery by Wed May 8,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQQq16X3iZudqwQZQqZ85uoNSMmMGUSiEpTVF5rRx3Jr-VF0LWXGd1u5gptsb1j-UTUMV_dc4s&usqp=CAE,4.5,18716,4.4,32
49,Apple iPhone 13 Mini - 128 GB - Midnight,Swappa,$360.00,360.0,NA,Free delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTfvGd1RbEW-ZLEOYVjgqnrZtRE1wNM0Uc1_6Yo50BVw0gxxpa4-GOvb_KTU0j6OrJp2fVA-ujS&usqp=CAE,4.7,6096,4.9,6000
50,Lively - Jitterbug Smart3 Smartphone for Seniors - Black,Realry,$74.99,74.99,NA,Free delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQBkIEbv3SVhsP3qIDAQqAdOifJYQMphGrmjExFZx3e3ytkufXyQ34SFa21cZgoIoNBD_f-sxo&usqp=CAE,4.4,392,NA,NA
51,Apple iPhone 14 Pro (128GB) - Deep Purple,Back Market,$619.00,619.0,NA,Delivery by Wed May 1,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR35_rdT5LXDgHq02d3do782niUCzRnYYrVY9A_PKz3Riu71pjXEGIl4zXpsXM36qqJZOTdQS0&usqp=CAE,4.7,9869,4.6,12700
52,Samsung Galaxy A51 A516U 5G 128GB Unlocked Smartphone Great,Priority Wireless,$99.74,99.74,NA,Free delivery by Mon Apr 29,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQxhXBClLOhIoeeGgueM2vdxl0gKpC9H7oDKVAZtC0eM2RVmjC4R_z4Tf1x37CoFAdq8NPBjyY&usqp=CAE,4.6,4181,NA,NA
53,Asus ROG Phone 6D Ultimate Dual-SIM 512GB ROM + 16GB Ram (GSM | CDMA) Factory ...,Techinn,$784.49,784.49,NA,$11.99 delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR4LqhW3LjwdCk00di5Xr4l73FLJetgUzmkJIAkORICvWnTGyiLO-nIhZH2TSWhJwzn6cHM0C4tQw&usqp=CAE,4.7,263,NA,NA
54,Samsung Galaxy S22 Certified Re-Newed 128GB in Phantom Black with 24 Monthly ...,Samsung,$0.00,0.0,NA,Free delivery by May 10 & Free 15-day returns,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTezqtpm56S5rOt_siphe6Z7pKF_C6G318yUJzizd3wHJPOU65nA3d1almqkUtJNW6Vp9xIyvE&usqp=CAE,NA,NA,4.0,2400
55,Vntub Clearance 9 Pro Unlocked Android Smartphone 8GB Rom+1gb RAM Android Phone ...,Walmart - nanchongzhonghanghengdianzishangwuyouxiangongsi,$31.98,31.98,$40.09,$15.00 delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTefhhuq0NIeTNu9n1ZOl50PRekbdDMqgCNgVz3o6s9ueyKyjft&usqp=CAE,NA,NA,NA,NA
56,iLight Mini Smartphone 11 Pro The World's Smallest 11 Pro Android Mobile Phone ...,eBay - sonikrissi2,$84.43,84.43,NA,Free delivery by Fri May 3,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSHBnFOa4zXUBHTfuTyu0ah22JNdRFKaB6Xw13ETnyV5-GvlRiP6KpdbHnW3c5mmPa8p5MSofSy&usqp=CAE,NA,NA,NA,NA
57,Apple iPhone 14 128GB in Purple | Smartphone | Verizon (with contract),Verizon,$0.00,0.0,NA,13.3 mi · In stock,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTJnH8vTD0IkV6zGSOAVvLc8axSSxCTXHhOc4jmW8ovLQ8v1CiV_m3q1oi4vi8&usqp=CAE,4.5,18716,NA,NA
58,OnePlus Nord N30 5G,OnePlus Official Store,$299.99,299.99,NA,Free delivery & Free 15-day returns,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRs2wFrDbgUNUYcfev7-48JD-pJjrFbBh1Y54Gr9dxWGlBUJeBj1N414nC6pQ&usqp=CAE,4.6,661,4.5,63
59,Google Pixel 7 Pro - 128 GB - Snow - Unlocked,Wireless Place,$519.99,519.99,NA,20.3 mi · In stock,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQGBUlMdWjHP3WKJZWeQPApScLYvO0BDQqJJg9xS3S31IyNNdxy_0J-DiCKPek&usqp=CAE,4.4,4571,NA,NA
60,Apple iPhone 12 mini - 64 GB - Black - T-Mobile,Reebelo USA,$191.00,191.0,NA,Free delivery by Apr 26 & Free 30-day returns,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQPRyPS0xwPxDNqoAqtr2DwU6gU7rf7D5jTmNRtkspQmlVN-qHS&usqp=CAE,4.5,12528,4.8,2600
61,Apple iPhone 14 128gb Midnight - Unlocked (Renewed),CellularCountry,$623.99,623.99,NA,Delivery by Sat Apr 27,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQHFoBQi3uleKBTZ3GreXAaMYpHk-FtM35Lpx7LNZLNmITJqjX92HSap6BLuKBDf3Bp42ZcJG_XdQ&usqp=CAE,4.5,18716,3.0,16
62,Cat S22 IP68 16GB 4G LTE GSM Unlocked Rugged Flip Phone - Black,Cellification,$69.99,69.99,NA,Free delivery by Mon Apr 29,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQhPY6bPPypsfTdDqmy_pzsyXi5bCGnynta1Pwf289pEiWHsPhhnmIPz-iaIRbQeXBXpVc1bJY&usqp=CAE,3.7,159,NA,NA
63,Nokia G50 5G | Android 11 | Unlocked Smartphone | US Version | 4/128GB | 6.82 ...,Amazon,$199.00,199.0,· Was $258.87,Free delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQU2thYbA4SnUZDPHn_HjL-s3s3b0UoYuRjwVRQ-TK-0U_dpQMkOtY4U-FPVpawYnqynAq83GA&usqp=CAE,4.1,334,4.5,4900
64,Smartphone Poco 12 GB Ram White,Sears,$525.19,525.19,NA,Free delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTRk1h7fdsx22OFChLjSM2Wp57hRzq_FJEE5VW7fckm7TFv7dJJpPHf8-SLuV-ePu16W8L-ePyG&usqp=CAE,4.9,878,NA,NA
65,Tracfone 6.5 BLU View 5G Smartphone with 1-YrUnlimited Plan Silver Glitter,QVC,$79.98,79.98,$97.00,$5.50 delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQOJH5n5b3w0aIT9x0HQ8UDDB_Bq1bC-JBeHLyA5PX3Z-R59fwW1tSi0mmjAAOdn-sCWsP_2EE&usqp=CAE,NA,NA,4.5,2900
66,Samsung Galaxy Z Fold5 512GB in Blue (Unlocked)(SM-F946UZBEXAA),Samsung,$1919.99,1919.99,NA,Free delivery by May 10 & Free 15-day returns,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQrQ9cEhBKAPp79cQmmJg5JbUxn7icSptElGtn6HIDFsUq1EEu3GXH9_9QqmDxWCSmO13JLdXDB&usqp=CAE,4.5,23319,4.0,2400
67,Nothing Phone (2A) 5G Dual Sim 256GB ROM 12GB Ram GSM Unlocked - Black,MyWorldPhone,$469.99,469.99,$699.99,Free delivery by Tue Apr 30,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTQXg8mEZmBs4SczvmQn8QiNA4nYdw3aDtsoDEuXP88qbtrIMKeKWDv2SH2HfQ&usqp=CAE,4.5,68,NA,NA
68,Apple iPhone XR - 64gb - Product Red - AT&T,Unclaimed Baggage,$154.99,154.99,NA,Free delivery by Mon Apr 29,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTnXOMhQqq0oh93a5b1cuFaYBceUXwj47akc9O5Z7qewxr6_LjgA656dQNWowmS4g-ZIa7LUdY&usqp=CAE,4.5,44723,NA,NA
69,Apple iPhone 15 - 128GB - Black - With Contract and 36 Installment Payments,AT&T,$0.00,0.0,NA,Free delivery est. by May 1,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRRB651f1MZlR2MstlMl4WUcGyRTone3mhPXWtlg_Nh5YVai9xB1J4EIKvBl9E&usqp=CAE,4.6,8443,4.3,NA
70,Blu Tank II T193 Unlocked GSM Dual-SIM Cell Phone (Black/Blue),WirelessBoss,$22.99,22.99,NA,$3.99 delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT4ihOrwBTrEgUzlGmArCAR_FQ3XWf2dgmZ6FGvSMIEJ_prQwKutWnsKGWV3DB9Qnw5avxNarg&usqp=CAE,4.1,14,NA,NA
71,TCL 30 Z Unlocked Cellphone With 6.1" HD+ DisplaySmartphone Android 12 32GB+3GB ...,Shein,$93.99,93.99,$99.99,Free delivery by Thu May 9,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQhT9_LXv-rCJFc57jT9QdvaKCtuLL_X7EstnH6z7XRutiNtjKLgv5lAHTTL5Knq-qziI5CXj_9&usqp=CAE,NA,NA,NA,NA
72,Apple iPhone 12 Pro 128GB (Unlocked) in Pacific Blue G,Gazelle Store,$364.99,364.99,NA,Free delivery by May 7 & Free 30-day returns,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQjU8HEb_yYIKqaSvNW7FZBXddeLDaa5xsnUOJJiHCZHgKOjoKhVDrekokPoGXTN_rcriER4dFA&usqp=CAE,4.6,10913,4.2,5800
73,Samsung Galaxy A53 A536 128GB Unlocked 5G Smartphone Great,Priority Wireless,$118.74,118.74,NA,Free delivery by Mon Apr 29,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTrMYzpz3vqZ0UY7SojjRQfAaDLzT81oSjLwfH8nBfKCvdfmWaoej9Dhxp3yFvzrW_2rs9_roA&usqp=CAE,4.1,13756,NA,NA
74,Original ZTE Axon 9 Pro 4G LTE Cell Phone 6GB RAM 64GB ROM Snapdragon 845 Octa ...,DHgate online store,$402.09,402.09,NA,Free delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSK1ly9_boyvVH6GXHcOpAlrKVeMBhw-okHAa7jXvlymUKwoQV0NV1GC6_746qI8QsDhlzRxEzJ&usqp=CAE,NA,NA,NA,NA
75,Apple iPhone 14 128GB in Midnight | Smartphone | Verizon (with contract),Verizon,$0.00,0.0,NA,Free delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSQ-_4HgveJmK9Rodo4XfCbwrs0LSxc1dXTOAEJrk1Pm95hkIavC5hjSFOr1Sg&usqp=CAE,4.5,18716,NA,NA
